"quasi"	"cmpcode"	"cmpdomain"
"INTRODUCTION AND PREAMBLE"	NA	NA
"One hundred and fifty years ago, Americans who had gathered to protest the expansion of slavery gave birth to a political Party that would save the Union - the Republican Party."	0	"0"
"In 1860, Abraham Lincoln of Illinois carried the Republican banner in the Presidential election and was elected the Party's first President."	0	"0"
"He became our nation's greatest leader … and one of our Party's greatest heroes."	0	"0"
"Every day, we strive to fulfill Lincoln's vision: a country united and free, in which all people are guaranteed equal rights and the opportunity to pursue their dreams."	0	"0"
"His legacy goes beyond the borders of America."	0	"0"
"It can be seen in free governments all over the world."	0	"0"
"Lincoln's successors have been united by a common purpose - defending freedom at home and promoting it abroad."	0	"0"
"Today, the Republican Party gathers to renominate a man who carries on the best traditions of our Party by carrying the banner of freedom."	0	"0"
"When America was struck by terrorists on September 11, 2001, President Bush immediately realized that it was an act of war, not just a crime."	605	"6"
"Working with Congress, the President drew up plans to take the fight to the enemy, vowing to bring the terrorists to justice, or bring justice to the terrorists."	605	"6"
"And together, the President and Congress took steps to help the wounded, honor the dead, and secure our homeland."	605	"6"
"Thanks to President Bush's leadership, the skill of the American military, and the commitment of our allies, today there are more than 50 million newly free people in the nations of Afghanistan and Iraq - and America is safer."	104	"1"
"The President's leadership has also been bold and visionary at home."	0	"0"
"When the President came to office, our economy was faltering, seniors were having trouble paying for their prescription drugs, and schools were stuck in a pattern of low expectations and poor results."	0	"0"
"President Bush worked with Congress to lower taxes, so Americans can keep more of their own hard-earned money to spend, save, or invest, thereby growing our economy and putting people back to work."	402	"4"
"He worked with Congress to strengthen Medicare by adding a prescription drug benefit and giving seniors more choices to meet their individual health care needs."	504	"5"
"And the President worked with Congress to pass historic education reforms to ensure that every child can read."	506	"5"
"Today, higher standards and stronger accountability are getting results in classrooms across America."	506	"5"
"***"	NA	NA
"We are proud of the record we offer to the American people."	0	"0"
"We have helped America overcome extraordinary challenges."	0	"0"
"We are re-shaping our government to meet the demands of the modern world and better serve our citizens."	0	"0"
"We are also proud of our agenda for America's future."	0	"0"
"President George W. Bush will lead this nation with courage, hope, and resolve over the next four years."	0	"0"
"Republicans have always been the Party of fresh ideas and new thinking."	0	"0"
"We encourage debate on the major issues of our day, and we will consistently act in accord with the greatest values of our country - freedom and opportunity for all."	0	"0"
"Our plans focus on ensuring that America remains safe, terrorists are defeated, and democracy flourishes in the world …"	605	"6"
"on expanding opportunities for ownership and investment …"	402	"4"
"on making tax relief permanent and ensuring greater energy independence …"	402	"4"
"on increasing the affordability and accessibility of health care …"	402	"4"
"on promoting works of compassion and strengthening our greatest values …"	603	"6"
"on preparing students for success in life by bringing the benefits of education reform to high schools …"	506	"5"
"and on helping workers adjust to a changing economy by offering flexible training options that meet their individual needs."	402	"4"
"Our Party's 2004 platform addresses the major issues facing America in the first decade of the 21st century:"	NA	NA
"Winning the War on Terror …"	605	"6"
"because our government's most solemn duty is to keep its citizens safe."	605	"6"
"Ushering in an Ownership Era …"	NA	NA
"because a vibrant entrepreneurial spirit will keep our economy strong and provide more opportunities for workers and families."	402	"4"
"Building an Innovative Economy to Compete in the World …"	NA	NA
"because America can compete with anyone, anywhere, thanks to our entrepreneurs and risk-takers who keep us on the cutting edge of technology and commerce."	401	"4"
"Strengthening Our Communities …"	NA	NA
"because our children deserve to grow up in an America in which all their hopes and dreams can come true."	603	"6"
"Protecting Our Families …"	NA	NA
"because we respect the family's role as a touchstone of stability and strength in an everchanging world."	603	"6"
"This platform makes clear that the American people will have a choice on November 2nd."	0	"0"
"A choice between strength and uncertainty."	0	"0"
"A choice between results and rhetoric."	0	"0"
"A choice between optimism and pessimism."	0	"0"
"A choice between opportunity and dependence."	0	"0"
"A choice between freedom and fear."	0	"0"
"And a choice between moving forward and turning back."	0	"0"
"The 2004 Republican Party Platform makes clear: We choose strength."	0	"0"
"We choose results."	0	"0"
"We choose optimism."	0	"0"
"We choose opportunity."	0	"0"
"We choose freedom."	0	"0"
"And we choose moving forward with President Bush."	NA	NA
"A man of courage and compassion, of integrity and action."	0	"0"
